"subject" "activityName" "activityID"
"1" 7 "walking" 1
"2" 5 "walking" 1
"3" 6 "walking" 1
"4" 23 "walking" 1
"5" 11 "walking" 1
"6" 10 "walking" 1
"7" 21 "walking" 1
"8" 3 "walking" 1
"9" 30 "walking" 1
"10" 14 "walking" 1
"11" 26 "walking" 1
"12" 27 "walking" 1
"13" 24 "walking" 1
"14" 22 "walking" 1
"15" 1 "walking" 1
"16" 2 "walking" 1
"17" 19 "walking" 1
"18" 8 "walking" 1
"19" 25 "walking" 1
"20" 16 "walking" 1
"21" 15 "walking" 1
"22" 13 "walking" 1
"23" 28 "walking" 1
"24" 18 "walking" 1
"25" 20 "walking" 1
"26" 29 "walking" 1
"27" 12 "walking" 1
"28" 17 "walking" 1
"29" 9 "walking" 1
"30" 4 "walking" 1
"31" 3 "walking upstairs" 2
"32" 22 "walking upstairs" 2
"33" 25 "walking upstairs" 2
"34" 30 "walking upstairs" 2
"35" 19 "walking upstairs" 2
"36" 1 "walking upstairs" 2
"37" 28 "walking upstairs" 2
"38" 23 "walking upstairs" 2
"39" 12 "walking upstairs" 2
"40" 21 "walking upstairs" 2
"41" 9 "walking upstairs" 2
"42" 7 "walking upstairs" 2
"43" 8 "walking upstairs" 2
"44" 5 "walking upstairs" 2
"45" 11 "walking upstairs" 2
"46" 6 "walking upstairs" 2
"47" 4 "walking upstairs" 2
"48" 29 "walking upstairs" 2
"49" 2 "walking upstairs" 2
"50" 13 "walking upstairs" 2
"51" 15 "walking upstairs" 2
"52" 10 "walking upstairs" 2
"53" 26 "walking upstairs" 2
"54" 27 "walking upstairs" 2
"55" 18 "walking upstairs" 2
"56" 14 "walking upstairs" 2
"57" 16 "walking upstairs" 2
"58" 20 "walking upstairs" 2
"59" 17 "walking upstairs" 2
"60" 24 "walking upstairs" 2
"61" 7 "walking downstairs" 3
"62" 3 "walking downstairs" 3
"63" 19 "walking downstairs" 3
"64" 22 "walking downstairs" 3
"65" 23 "walking downstairs" 3
"66" 21 "walking downstairs" 3
"67" 15 "walking downstairs" 3
"68" 25 "walking downstairs" 3
"69" 10 "walking downstairs" 3
"70" 28 "walking downstairs" 3
"71" 17 "walking downstairs" 3
"72" 1 "walking downstairs" 3
"73" 14 "walking downstairs" 3
"74" 6 "walking downstairs" 3
"75" 12 "walking downstairs" 3
"76" 4 "walking downstairs" 3
"77" 26 "walking downstairs" 3
"78" 18 "walking downstairs" 3
"79" 2 "walking downstairs" 3
"80" 9 "walking downstairs" 3
"81" 30 "walking downstairs" 3
"82" 8 "walking downstairs" 3
"83" 29 "walking downstairs" 3
"84" 5 "walking downstairs" 3
"85" 13 "walking downstairs" 3
"86" 11 "walking downstairs" 3
"87" 16 "walking downstairs" 3
"88" 27 "walking downstairs" 3
"89" 24 "walking downstairs" 3
"90" 20 "walking downstairs" 3
"91" 30 "sitting" 4
"92" 3 "sitting" 4
"93" 24 "sitting" 4
"94" 9 "sitting" 4
"95" 18 "sitting" 4
"96" 28 "sitting" 4
"97" 6 "sitting" 4
"98" 21 "sitting" 4
"99" 20 "sitting" 4
"100" 13 "sitting" 4
"101" 1 "sitting" 4
"102" 27 "sitting" 4
"103" 5 "sitting" 4
"104" 29 "sitting" 4
"105" 7 "sitting" 4
"106" 22 "sitting" 4
"107" 11 "sitting" 4
"108" 10 "sitting" 4
"109" 8 "sitting" 4
"110" 19 "sitting" 4
"111" 25 "sitting" 4
"112" 2 "sitting" 4
"113" 14 "sitting" 4
"114" 15 "sitting" 4
"115" 26 "sitting" 4
"116" 12 "sitting" 4
"117" 23 "sitting" 4
"118" 4 "sitting" 4
"119" 17 "sitting" 4
"120" 16 "sitting" 4
"121" 1 "standing" 5
"122" 22 "standing" 5
"123" 26 "standing" 5
"124" 14 "standing" 5
"125" 6 "standing" 5
"126" 29 "standing" 5
"127" 24 "standing" 5
"128" 9 "standing" 5
"129" 18 "standing" 5
"130" 13 "standing" 5
"131" 17 "standing" 5
"132" 7 "standing" 5
"133" 23 "standing" 5
"134" 19 "standing" 5
"135" 3 "standing" 5
"136" 15 "standing" 5
"137" 27 "standing" 5
"138" 30 "standing" 5
"139" 2 "standing" 5
"140" 20 "standing" 5
"141" 5 "standing" 5
"142" 21 "standing" 5
"143" 10 "standing" 5
"144" 8 "standing" 5
"145" 28 "standing" 5
"146" 11 "standing" 5
"147" 16 "standing" 5
"148" 25 "standing" 5
"149" 12 "standing" 5
"150" 4 "standing" 5
"151" 6 "laying" 6
"152" 29 "laying" 6
"153" 3 "laying" 6
"154" 7 "laying" 6
"155" 30 "laying" 6
"156" 1 "laying" 6
"157" 27 "laying" 6
"158" 23 "laying" 6
"159" 24 "laying" 6
"160" 21 "laying" 6
"161" 28 "laying" 6
"162" 8 "laying" 6
"163" 9 "laying" 6
"164" 16 "laying" 6
"165" 22 "laying" 6
"166" 10 "laying" 6
"167" 15 "laying" 6
"168" 14 "laying" 6
"169" 26 "laying" 6
"170" 11 "laying" 6
"171" 19 "laying" 6
"172" 20 "laying" 6
"173" 25 "laying" 6
"174" 2 "laying" 6
"175" 5 "laying" 6
"176" 17 "laying" 6
"177" 13 "laying" 6
"178" 12 "laying" 6
"179" 4 "laying" 6
"180" 18 "laying" 6
