"activityID" "subject" "activityName"
"1" 1 7 "walking"
"2" 1 5 "walking"
"3" 1 6 "walking"
"4" 1 23 "walking"
"5" 1 7 "walking"
"6" 1 7 "walking"
"7" 1 11 "walking"
"8" 1 6 "walking"
"9" 1 10 "walking"
"10" 1 11 "walking"
"11" 1 21 "walking"
"12" 1 3 "walking"
"13" 1 6 "walking"
"14" 1 3 "walking"
"15" 1 6 "walking"
"16" 1 6 "walking"
"17" 1 11 "walking"
"18" 1 6 "walking"
"19" 1 11 "walking"
"20" 1 30 "walking"
"21" 1 6 "walking"
"22" 1 21 "walking"
"23" 1 3 "walking"
"24" 1 30 "walking"
"25" 1 3 "walking"
"26" 1 23 "walking"
"27" 1 14 "walking"
"28" 1 30 "walking"
"29" 1 11 "walking"
"30" 1 11 "walking"
"31" 1 5 "walking"
"32" 1 21 "walking"
"33" 1 26 "walking"
"34" 1 6 "walking"
"35" 1 26 "walking"
"36" 1 6 "walking"
"37" 1 3 "walking"
"38" 1 30 "walking"
"39" 1 3 "walking"
"40" 1 3 "walking"
"41" 1 5 "walking"
"42" 1 14 "walking"
"43" 1 3 "walking"
"44" 1 6 "walking"
"45" 1 27 "walking"
"46" 1 21 "walking"
"47" 1 24 "walking"
"48" 1 21 "walking"
"49" 1 3 "walking"
"50" 1 6 "walking"
"51" 1 14 "walking"
"52" 1 3 "walking"
"53" 1 5 "walking"
"54" 1 3 "walking"
"55" 1 30 "walking"
"56" 1 6 "walking"
"57" 1 3 "walking"
"58" 1 26 "walking"
"59" 1 26 "walking"
"60" 1 30 "walking"
"61" 1 6 "walking"
"62" 1 22 "walking"
"63" 1 26 "walking"
"64" 1 27 "walking"
"65" 1 5 "walking"
"66" 1 1 "walking"
"67" 1 3 "walking"
"68" 1 26 "walking"
"69" 1 30 "walking"
"70" 1 30 "walking"
"71" 1 26 "walking"
"72" 1 22 "walking"
"73" 1 22 "walking"
"74" 1 24 "walking"
"75" 1 6 "walking"
"76" 1 5 "walking"
"77" 1 22 "walking"
"78" 1 26 "walking"
"79" 1 7 "walking"
"80" 1 14 "walking"
"81" 1 14 "walking"
"82" 1 5 "walking"
"83" 1 14 "walking"
"84" 1 14 "walking"
"85" 1 14 "walking"
"86" 1 14 "walking"
"87" 1 22 "walking"
"88" 1 27 "walking"
"89" 1 27 "walking"
"90" 1 6 "walking"
"91" 1 5 "walking"
"92" 1 22 "walking"
"93" 1 26 "walking"
"94" 1 30 "walking"
"95" 1 1 "walking"
"96" 1 1 "walking"
"97" 1 30 "walking"
"98" 1 30 "walking"
"99" 1 14 "walking"
"100" 1 1 "walking"
"101" 1 22 "walking"
"102" 1 5 "walking"
"103" 1 22 "walking"
"104" 1 3 "walking"
"105" 1 3 "walking"
"106" 1 23 "walking"
"107" 1 2 "walking"
"108" 1 2 "walking"
"109" 1 26 "walking"
"110" 1 26 "walking"
"111" 1 19 "walking"
"112" 1 19 "walking"
"113" 1 19 "walking"
"114" 1 26 "walking"
"115" 1 3 "walking"
"116" 1 3 "walking"
"117" 1 30 "walking"
"118" 1 7 "walking"
"119" 1 11 "walking"
"120" 1 11 "walking"
"121" 1 14 "walking"
"122" 1 11 "walking"
"123" 1 5 "walking"
"124" 1 5 "walking"
"125" 1 3 "walking"
"126" 1 3 "walking"
"127" 1 19 "walking"
"128" 1 19 "walking"
"129" 1 30 "walking"
"130" 1 3 "walking"
"131" 1 30 "walking"
"132" 1 3 "walking"
"133" 1 8 "walking"
"134" 1 1 "walking"
"135" 1 14 "walking"
"136" 1 14 "walking"
"137" 1 6 "walking"
"138" 1 14 "walking"
"139" 1 14 "walking"
"140" 1 19 "walking"
"141" 1 30 "walking"
"142" 1 30 "walking"
"143" 1 26 "walking"
"144" 1 26 "walking"
"145" 1 23 "walking"
"146" 1 7 "walking"
"147" 1 7 "walking"
"148" 1 7 "walking"
"149" 1 23 "walking"
"150" 1 23 "walking"
"151" 1 11 "walking"
"152" 1 11 "walking"
"153" 1 7 "walking"
"154" 1 24 "walking"
"155" 1 25 "walking"
"156" 1 2 "walking"
"157" 1 2 "walking"
"158" 1 26 "walking"
"159" 1 26 "walking"
"160" 1 2 "walking"
"161" 1 10 "walking"
"162" 1 26 "walking"
"163" 1 11 "walking"
"164" 1 11 "walking"
"165" 1 11 "walking"
"166" 1 11 "walking"
"167" 1 3 "walking"
"168" 1 14 "walking"
"169" 1 8 "walking"
"170" 1 14 "walking"
"171" 1 14 "walking"
"172" 1 26 "walking"
"173" 1 1 "walking"
"174" 1 26 "walking"
"175" 1 8 "walking"
"176" 1 23 "walking"
"177" 1 1 "walking"
"178" 1 3 "walking"
"179" 1 19 "walking"
"180" 1 23 "walking"
"181" 1 3 "walking"
"182" 1 19 "walking"
"183" 1 19 "walking"
"184" 1 7 "walking"
"185" 1 21 "walking"
"186" 1 21 "walking"
"187" 1 21 "walking"
"188" 1 7 "walking"
"189" 1 7 "walking"
"190" 1 7 "walking"
"191" 1 7 "walking"
"192" 1 7 "walking"
"193" 1 7 "walking"
"194" 1 7 "walking"
"195" 1 7 "walking"
"196" 1 7 "walking"
"197" 1 7 "walking"
"198" 1 21 "walking"
"199" 1 22 "walking"
"200" 1 14 "walking"
"201" 1 14 "walking"
"202" 1 14 "walking"
"203" 1 11 "walking"
"204" 1 11 "walking"
"205" 1 11 "walking"
"206" 1 5 "walking"
"207" 1 11 "walking"
"208" 1 14 "walking"
"209" 1 14 "walking"
"210" 1 26 "walking"
"211" 1 14 "walking"
"212" 1 16 "walking"
"213" 1 15 "walking"
"214" 1 8 "walking"
"215" 1 1 "walking"
"216" 1 1 "walking"
"217" 1 14 "walking"
"218" 1 14 "walking"
"219" 1 23 "walking"
"220" 1 22 "walking"
"221" 1 26 "walking"
"222" 1 22 "walking"
"223" 1 23 "walking"
"224" 1 19 "walking"
"225" 1 21 "walking"
"226" 1 8 "walking"
"227" 1 8 "walking"
"228" 1 23 "walking"
"229" 1 23 "walking"
"230" 1 13 "walking"
"231" 1 13 "walking"
"232" 1 13 "walking"
"233" 1 13 "walking"
"234" 1 13 "walking"
"235" 1 13 "walking"
"236" 1 13 "walking"
"237" 1 13 "walking"
"238" 1 13 "walking"
"239" 1 13 "walking"
